period_start,period_end,period_type,pattern_id,event_count,trade_count,gross_pnl,net_pnl,winrate,profit_factor,max_drawdown,market_regime,notes
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000060,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000081,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000175,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000176,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000311,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000319,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000433,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000453,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-08T00:00:00+00:00,2021-07-08T00:00:00+00:00,day,PATTERN_000081,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-08T00:00:00+00:00,2021-07-08T00:00:00+00:00,day,PATTERN_000311,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2021-07-08T00:00:00+00:00,2021-07-08T00:00:00+00:00,day,PATTERN_000320,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
